id,alive,request,resolve,url,subdomain,level,cname,ip,public,cdn,port,status,reason,title,banner,cidr,asn,org,addr,isp,source
624,1,1,1,http://360.gf.com.cn,360.gf.com.cn,1,360.ns.gf.com.cn,14.23.60.12,1,1,80,200,OK,'\n',QiAnXin web server,14.23.0.0/16,AS4134,China Telecom,中国广东省广州市,电信,Brute
632,0,0,1,https://360.gf.com.cn,360.gf.com.cn,1,360.ns.gf.com.cn,14.23.60.12,1,1,443,,"(MaxRetryError(""HTTPSConnectionPool(host='360.gf.com.cn', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x00000153577BEF40>, 'Connection to 360.gf.com.cn timed out. (connect timeout=3.05)'))""),)",,,14.23.0.0/16,AS4134,China Telecom,中国广东省广州市,电信,Brute
73,1,1,1,http://360.ns.gf.com.cn,360.ns.gf.com.cn,2,360.ns.gf.com.cn,14.23.60.12,1,1,80,200,OK,'\n',QiAnXin web server,14.23.0.0/16,AS4134,China Telecom,中国广东省广州市,电信,BinaryEdgeAPIQuery
81,0,0,1,https://360.ns.gf.com.cn,360.ns.gf.com.cn,2,360.ns.gf.com.cn,14.23.60.12,1,1,443,,"(MaxRetryError(""HTTPSConnectionPool(host='360.ns.gf.com.cn', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x0000015358C34430>, 'Connection to 360.ns.gf.com.cn timed out. (connect timeout=3.05)'))""),)",,,14.23.0.0/16,AS4134,China Telecom,中国广东省广州市,电信,BinaryEdgeAPIQuery
424,1,1,1,http://3g.gf.com.cn,3g.gf.com.cn,1,3g.ns.gf.com.cn,163.177.14.135,1,1,80,200,OK,手机证券下载,"nginx/1.12.1,Express",163.177.14.0/23,AS136958,China Unicom Guangdong IP Network,中国广东省广州市,联通,SiteDossierQuery
425,1,1,1,https://3g.gf.com.cn,3g.gf.com.cn,1,3g.ns.gf.com.cn,163.177.14.135,1,1,443,200,OK,手机证券下载,"nginx/1.12.1,Express",163.177.14.0/23,AS136958,China Unicom Guangdong IP Network,中国广东省广州市,联通,SiteDossierQuery
367,1,1,1,http://3g.ns.gf.com.cn,3g.ns.gf.com.cn,2,3g.ns.gf.com.cn,163.177.14.135,1,1,80,200,OK,手机证券下载,"nginx/1.12.1,Express",163.177.14.0/23,AS136958,China Unicom Guangdong IP Network,中国广东省广州市,联通,HackerTargetQuery
375,1,1,1,https://3g.ns.gf.com.cn,3g.ns.gf.com.cn,2,3g.ns.gf.com.cn,163.177.14.135,1,1,443,200,OK,手机证券下载,"nginx/1.12.1,Express",163.177.14.0/23,AS136958,China Unicom Guangdong IP Network,中国广东省广州市,联通,HackerTargetQuery
736,1,1,1,http://aml.gf.com.cn,aml.gf.com.cn,1,"aml.gf.com.cn,aml.gf.com.cn","10.2.66.126,10.35.88.126","0,0",0,80,200,OK,入网规范管理平台,NWebServer,"10.0.0.0/8,10.0.0.0/8","AS-,AS-","-,-","内网IP,内网IP","内网IP,内网IP",Brute
747,0,0,1,https://aml.gf.com.cn,aml.gf.com.cn,1,"aml.gf.com.cn,aml.gf.com.cn","10.2.66.126,10.35.88.126","0,0",0,443,,"(MaxRetryError(""HTTPSConnectionPool(host='aml.gf.com.cn', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001535AACBF70>, 'Connection to aml.gf.com.cn timed out. (connect timeout=3.05)'))""),)",,,"10.0.0.0/8,10.0.0.0/8","AS-,AS-","-,-","内网IP,内网IP","内网IP,内网IP",Brute
211,0,0,1,https://ams.gf.com.cn,ams.gf.com.cn,1,ams.gf.com.cn,10.2.68.116,0,0,443,,"(MaxRetryError(""HTTPSConnectionPool(host='ams.gf.com.cn', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x0000015358FE3880>, 'Connection to ams.gf.com.cn timed out. (connect timeout=3.05)'))""),)",,,10.0.0.0/8,AS-,-,内网IP,内网IP,IP138Query
