id,alive,request,resolve,url,subdomain,level,cname,ip,public,cdn,port,status,reason,title,banner,cidr,asn,org,addr,isp,source
7,0,0,1,http://autodiscover.gfzq.cn,autodiscover.gfzq.cn,1,autodiscover.gfzq.cn,121.8.190.123,1,1,80,,"(MaxRetryError(""HTTPConnectionPool(host='autodiscover.gfzq.cn', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x00000153577588B0>, 'Connection to autodiscover.gfzq.cn timed out. (connect timeout=3.05)'))""),)",,,121.8.0.0/16,AS4134,China Telecom,中国广东省广州市,电信,CensysAPIQuery
8,0,0,1,https://autodiscover.gfzq.cn,autodiscover.gfzq.cn,1,autodiscover.gfzq.cn,121.8.190.123,1,1,443,,"(MaxRetryError(""HTTPSConnectionPool(host='autodiscover.gfzq.cn', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x0000015357758F40>, 'Connection to autodiscover.gfzq.cn timed out. (connect timeout=3.05)'))""),)",,,121.8.0.0/16,AS4134,China Telecom,中国广东省广州市,电信,CensysAPIQuery
15,0,0,1,http://byod.gfzq.cn,byod.gfzq.cn,1,byod.gfzq.cn,59.41.16.184,1,1,80,,"(MaxRetryError(""HTTPConnectionPool(host='byod.gfzq.cn', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x0000015359058040>, 'Connection to byod.gfzq.cn timed out. (connect timeout=3.05)'))""),)",,,59.40.0.0/15,AS4134,China Telecom,中国广东省广州市,电信,HackerTargetQuery
16,0,0,1,https://byod.gfzq.cn,byod.gfzq.cn,1,byod.gfzq.cn,59.41.16.184,1,1,443,,"(MaxRetryError(""HTTPSConnectionPool(host='byod.gfzq.cn', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x0000015356F61160>, 'Connection to byod.gfzq.cn timed out. (connect timeout=3.05)'))""),)",,,59.40.0.0/15,AS4134,China Telecom,中国广东省广州市,电信,HackerTargetQuery
1,1,1,1,http://cdn.gfzq.cn,cdn.gfzq.cn,1,"36d64bd9.tweb.sched.ovscdns.com,36d64bd9.tweb.sched.ovscdns.com,36d64bd9.tweb.sched.ovscdns.com,36d64bd9.tweb.sched.ovscdns.com,36d64bd9.tweb.sched.ovscdns.com,36d64bd9.tweb.sched.ovscdns.com,36d64bd9.tweb.sched.ovscdns.com","203.205.136.62,203.205.136.55,119.28.165.56,119.28.165.55,203.205.137.254,119.28.164.234,203.205.137.123","1,1,1,1,1,1,1",1,80,403,Forbidden,403 Forbidden,NWS_TCloud_static_hy_soc1,"203.205.136.0/23,203.205.136.0/23,119.28.164.0/23,119.28.164.0/23,203.205.136.0/23,119.28.164.0/23,203.205.136.0/23","AS132203,AS132203,AS132203,AS132203,AS132203,AS132203,AS132203","Tencent Building Kejizhongyi Avenue,Tencent Building Kejizhongyi Avenue,Tencent Building Kejizhongyi Avenue,Tencent Building Kejizhongyi Avenue,Tencent Building Kejizhongyi Avenue,Tencent Building Kejizhongyi Avenue,Tencent Building Kejizhongyi Avenue","中国香港,中国香港,中国香港,中国香港,中国香港,中国香港,中国香港","腾讯,腾讯,腾讯,腾讯,腾讯,腾讯,腾讯",GoogleQuery
2,1,1,1,https://cdn.gfzq.cn,cdn.gfzq.cn,1,"36d64bd9.tweb.sched.ovscdns.com,36d64bd9.tweb.sched.ovscdns.com,36d64bd9.tweb.sched.ovscdns.com,36d64bd9.tweb.sched.ovscdns.com,36d64bd9.tweb.sched.ovscdns.com,36d64bd9.tweb.sched.ovscdns.com,36d64bd9.tweb.sched.ovscdns.com","203.205.136.62,203.205.136.55,119.28.165.56,119.28.165.55,203.205.137.254,119.28.164.234,203.205.137.123","1,1,1,1,1,1,1",1,443,403,Forbidden,403 Forbidden,nginx/1.12.1,"203.205.136.0/23,203.205.136.0/23,119.28.164.0/23,119.28.164.0/23,203.205.136.0/23,119.28.164.0/23,203.205.136.0/23","AS132203,AS132203,AS132203,AS132203,AS132203,AS132203,AS132203","Tencent Building Kejizhongyi Avenue,Tencent Building Kejizhongyi Avenue,Tencent Building Kejizhongyi Avenue,Tencent Building Kejizhongyi Avenue,Tencent Building Kejizhongyi Avenue,Tencent Building Kejizhongyi Avenue,Tencent Building Kejizhongyi Avenue","中国香港,中国香港,中国香港,中国香港,中国香港,中国香港,中国香港","腾讯,腾讯,腾讯,腾讯,腾讯,腾讯,腾讯",GoogleQuery
33,0,0,1,http://citrix.gfzq.cn,citrix.gfzq.cn,1,citrix.gfzq.cn,121.8.153.45,1,1,80,,"(MaxRetryError(""HTTPConnectionPool(host='citrix.gfzq.cn', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x0000015358B91730>, 'Connection to citrix.gfzq.cn timed out. (connect timeout=3.05)'))""),)",,,121.8.0.0/16,AS4134,China Telecom,中国广东省广州市,电信,Brute
34,0,0,1,https://citrix.gfzq.cn,citrix.gfzq.cn,1,citrix.gfzq.cn,121.8.153.45,1,1,443,,"(MaxRetryError(""HTTPSConnectionPool(host='citrix.gfzq.cn', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x0000015358B91190>, 'Connection to citrix.gfzq.cn timed out. (connect timeout=3.05)'))""),)",,,121.8.0.0/16,AS4134,China Telecom,中国广东省广州市,电信,Brute
39,0,0,1,https://dialin.gfzq.cn,dialin.gfzq.cn,1,dialin.gfzq.cn,121.8.190.123,1,1,443,,"(MaxRetryError(""HTTPSConnectionPool(host='dialin.gfzq.cn', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x00000153577496A0>, 'Connection to dialin.gfzq.cn timed out. (connect timeout=3.05)'))""),)",,,121.8.0.0/16,AS4134,China Telecom,中国广东省广州市,电信,Brute
40,0,0,1,http://dialin.gfzq.cn,dialin.gfzq.cn,1,dialin.gfzq.cn,121.8.190.123,1,1,80,,"(MaxRetryError(""HTTPConnectionPool(host='dialin.gfzq.cn', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000001535906DEE0>, 'Connection to dialin.gfzq.cn timed out. (connect timeout=3.05)'))""),)",,,121.8.0.0/16,AS4134,China Telecom,中国广东省广州市,电信,Brute
